,Age,Education Level,Race,Gender,householdSize,maritalStatus,Region,kidsInHH,employmentStatus,Hispanic,White,Black,nativeAmerican,asainIndian,Chinese,Filipino,Japanese,Korean,Vietnamese,otherAsainEthnicity,Hawaiian,Guamanian,Samoan,otherPacificIslander,someOtherRace,politicalParty,Religion,Married,LGBTQ+,romanticPartner,partnersGender,sameGenderAsPartner,partnerHispanic,partnersRace,partnerChristian,partnersReligion,partnersAge,partnersEducationLevel,partnersPoliticalParty,livingWithPartner,ageMetPartner,ageRelationshipStarted,ageLivingTogether,ageMarried,relationshipLength,whoEarnsMore,sameHighSchool,sameCollege,sameHometown,parentsApprove,metAtWork,metAtSchool,metAtChurch,metViaInternetService,metOnVacation,metAtBar,metAtClubActivity,metAtParty,metOther,usedInternetSevice,familyIntroduced,friendsIntroduced,coworkersIntroduced,classmateIntroduced,neighborsIntroduced,selfIntroduced,otherIntroduced,qualityOfRelationship,metOnline,metAsCoworkers,metThroughFriends,metThroughFamily,metThroughSigOther,metThroughNeighbor,metCollege,metMilitary,metChurch,metVoluntaryOrg,metAsCustomer,metInternetDating,metNetworking,metGaming,metInternetChat,metInternetCommunity,metInternetOther,metInPublic,metBlindDate,metAtSinglesServiceNonInternet,metOnBusiness,metAsWorkNeighbors,typeOfInternetMeeting,sameSexCouple,ageDifference,metThroughFriends,metThroughFamily,metAsNeighbors,metThroughCoworkers,partnersRace,partnersRegion,stillMarriedToPartner,livingWithPartner,howDidMarriageEnd,stillInRelationship,livingTogether,howDidRelationshipEnd,relationshipStatus
0,52,bachelors degree,hispanic,female,2,living with partner,midwest,0,working - as a paid employee,"yes, other spanish/hispanic/latino",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",48.0,associate degree,democrat,yes,45.0,45.0,45.0,,,partner earned more,different high school,did not attend same college or university,no,,no,no,no,yes,no,no,no,no,no,"yes, a different kind of internet service",refused,refused,refused,refused,refused,refused,refused,good,met online,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Previously Strangers: Before online connection respondent and partner were strangers,same-sex couple,4.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,hispanic,midwest,,,,yes,yes,,Living with partner
1,28,masters degree,"white, non-hispanic",female,2,living with partner,west,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,jewish,"yes, i am married",,,female,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,30.0,bachelor's degree,democrat,yes,19.0,20.0,22.0,23.0,,i earned more,different high school,attended same college or university,no,disapprove,no,yes,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,no,yes,no,no,no,good,met offline,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,same-sex couple,2.0,meet through friends,not met through family,met through or as neighbors,0.0,"white, non-hispanic",west,yes,yes,,,,,Living with partner
2,49,high school graduate - high school diploma or the equivalent (ged),"black, non-hispanic",female,4,never married,south,1,working - as a paid employee,"no, i am not",no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,baptist-any denomination,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"black, non-hispanic",south,,,,,,,Never married
3,31,associate degree,"white, non-hispanic",male,1,never married,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"other non-christian, please specify:","no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,"other non-christian, please specify",40.0,hs graduate or ged,democrat,no,23.0,23.0,23.0,,,i earned more,different high school,,no,approve,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,yes,no,no,no,no,no,good,met online,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Mediated: Online connection was mediated by friends, family, or others",same-sex couple,9.0,meet through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",south,,,,no,,we broke up,Never married
4,35,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",male,2,never married,south,0,working - self-employed,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,other christian,"no, i am not married",yes,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",south,,,,,,,Never married
5,69,"some college, no degree","white, non-hispanic",male,1,never married,midwest,0,not working - retired,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Never married
6,53,bachelors degree,"white, non-hispanic",male,2,living with partner,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,none,55.0,master's degree,democrat,yes,41.0,41.0,41.0,,,i earned more,different high school,did not attend same college or university,no,approve,no,no,no,no,no,no,no,no,yes,"no, we did not meet through the internet",no,no,no,no,no,no,yes,good,met offline,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,same-sex couple,2.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",midwest,,,,yes,yes,,Living with partner
7,58,masters degree,"white, non-hispanic",male,1,separated,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","yes, i am married",,,female,"no, we are an opposite-sex couple",no (not latino or hispanic),white,no,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",51.0,master's degree,democrat,no,28.0,28.0,30.0,30.0,,partner earned more,different high school,did not attend same college or university,no,approve,yes,no,no,no,no,no,no,no,no,"no, we did not meet through the internet",no,no,yes,no,no,no,no,good,met offline,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,different sex couple,7.0,not met through friends,not met through family,did not meet through or as neighbors,1.0,"white, non-hispanic",south,yes,no,,,,,Separated
8,39,high school graduate - high school diploma or the equivalent (ged),"white, non-hispanic",male,1,divorced,midwest,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,catholic,"no, i am not married",,"no, i am single, with no boyfriend, no girlfriend and no romantic or sexual partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"white, non-hispanic",midwest,,,,,,,Divorced
9,45,"some college, no degree","white, non-hispanic",male,4,living with partner,south,0,working - as a paid employee,"no, i am not",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,democrat,"other non-christian, please specify:","no, i am not married",,"yes, i have a sexual partner (boyfriend or girlfriend)",male,"yes, we are a same-sex couple",no (not latino or hispanic),white,no,baptist - any denomination,45.0,bachelor's degree,independent,yes,42.0,42.0,42.0,,3 years or more,partner earned more,different high school,did not attend same college or university,no,approve,no,no,no,yes,no,no,no,no,no,"yes, a different kind of internet service",no,no,no,no,no,yes,no,excellent,met online,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Previously Strangers: Before online connection respondent and partner were strangers,same-sex couple,0.0,not met through friends,not met through family,did not meet through or as neighbors,0.0,"white, non-hispanic",south,,,,,,,
